[0x000081b0] | UI.GLInterop         | INFO  | 2022-08-03 11:34:10,157 | OpenGL interop was initialized.
[0x000081b0] | UI.GLInterop         | INFO  | 2022-08-03 11:34:10,157 | OpenGL interop was initialized.
[0x000081b0] | GPU.MultiBoardMgr    | INFO  | 2022-08-03 11:34:10,157 | Initializing OpenCL board manager for gpu:1ce3a452.a811fcd4.
[0x00008528] | DVIP                 | INFO  | 2022-08-03 11:34:10,158 | Created OpenCL context for devices gpu:1ce3a452.a811fcd4
[0x00008528] | GPU.SingleBoardMgr   | INFO  | 2022-08-03 11:34:10,178 | Board manager thread for "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4) is ready.
[0x000081b0] | GPU.MultiBoardMgr    | INFO  | 2022-08-03 11:34:10,178 | Enabled OpenCL pinned memory.
[0x00007d4c] | Fusion               | INFO  | 2022-08-03 11:34:10,266 | 249 templates scanned in 0.12 secs
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:10,611 | 00.00.00.549(115): WASAPI: Scanning 3 - ASUS VP28U (2- AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,012 | 00.00.00.927(000): WASAPI: Device: 3 - ASUS VP28U (2- AMD High Definition Audio Device). Scan time 378. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,012 | 00.00.00.930(003): WASAPI: Scanning Wave Link Aux 1 (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,213 | 00.00.01.182(000): WASAPI: Device: Wave Link Aux 1 (Elgato Wave:3). Scan time 251. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,213 | 00.00.01.185(003): WASAPI: Scanning 5 - LC49G95T (2- AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,414 | 00.00.01.502(000): WASAPI: Device: 5 - LC49G95T (2- AMD High Definition Audio Device). Scan time 317. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:11,414 | 00.00.01.507(005): WASAPI: Scanning 4 - HDMI (AMD High Definition Audio Device) for formats
[0x000080c4] | SyManager            | WARN  | 2022-08-03 11:34:11,750 | socket failed to connect to server, error: 10061

[0x000080c4] | SyManager            | ERROR | 2022-08-03 11:34:11,750 | DRIVER: panel connection failed
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,015 | 00.00.01.962(000): WASAPI: Device: 4 - HDMI (AMD High Definition Audio Device). Scan time 454. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,015 | 00.00.01.966(004): WASAPI: Scanning Wave Link System (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,416 | 00.00.02.410(000): WASAPI: Device: Wave Link System (Elgato Wave:3). Scan time 443. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,416 | 00.00.02.413(003): WASAPI: Scanning Wave Link Browser (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,818 | 00.00.02.893(000): WASAPI: Device: Wave Link Browser (Elgato Wave:3). Scan time 479. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:12,818 | 00.00.02.896(003): WASAPI: Scanning 1 - CX156 (2- AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:13,219 | 00.00.03.236(000): WASAPI: Device: 1 - CX156 (2- AMD High Definition Audio Device). Scan time 339. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:13,219 | 00.00.03.239(003): WASAPI: Scanning Wave Link SFX (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:13,620 | 00.00.03.687(000): WASAPI: Device: Wave Link SFX (Elgato Wave:3). Scan time 448. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:13,620 | 00.00.03.691(004): WASAPI: Scanning 3 - ASUS VP28U (AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:14,221 | 00.00.04.291(000): WASAPI: Device: 3 - ASUS VP28U (AMD High Definition Audio Device). Scan time 600. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:14,221 | 00.00.04.299(008): WASAPI: Scanning 2 - HS156PC (AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:14,622 | 00.00.04.709(000): WASAPI: Device: 2 - HS156PC (AMD High Definition Audio Device). Scan time 409. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:14,622 | 00.00.04.713(004): WASAPI: Scanning 1 - CX156 (AMD High Definition Audio Device) for formats
